order_id,customer_id,restaurant_id,driver_id,order_timestamp,order_date,order_hour,day_of_week,is_weekend,city,delivery_area,customer_age,customer_type,restaurant_type,restaurant_primary_category,restaurant_rating,items_count,subtotal,discount_percent,tax_amount,service_fee,delivery_fee,order_total,payment_method,tip_amount,distance_km,weather,traffic_level,delivery_partner_experience_months,delivery_partner_rating,restaurant_preparation_time_minutes,estimated_delivery_time_minutes,actual_delivery_time_minutes,late_delivery,order_status,cancellation_reason,customer_rating
ORD_000001,CUS_00001,RES_0008,DRV_0075,2025-10-05 15:54:00,2025-10-05,15,Sunday,1,City_C,City_C_Area_3,40,Premium,Casual Dining,Healthy,4.4,4,64.82,0,9.07,2.4,0.0,76.29,Credit Card,11.36,1.1,Rain,Medium,14,4.4,25,25,29.0,0,Completed,,4.6
ORD_000002,CUS_00013,RES_0024,DRV_0131,2025-10-01 20:00:00,2025-10-01,20,Wednesday,0,City_A,City_A_Area_1,19,Regular,Cafe,Dessert,4.4,2,13.03,0,1.82,0.84,3.25,18.94,Cash,1.09,2.5,Cloudy,High,44,4.7,12,20,24.0,0,Completed,,5.0
ORD_000003,CUS_00049,RES_0013,DRV_0087,2025-10-07 18:24:00,2025-10-07,18,Tuesday,0,City_C,City_C_Area_3,26,Regular,Fast Food,Dessert,4.8,1,10.12,10,1.28,0.56,7.9,18.85,Cash,0.0,11.8,Cloudy,High,1,5.0,11,63,72.0,1,Completed,,3.6
ORD_000004,CUS_00007,RES_0001,DRV_0177,2025-10-30 16:54:00,2025-10-30,16,Thursday,0,City_A,City_A_Area_1,18,New,Fast Food,Local,3.9,1,8.86,10,1.12,0.4,4.7,14.19,Digital Wallet,0.0,5.4,Cloudy,Low,50,4.3,12,23,31.0,1,Completed,,4.1
ORD_000005,CUS_00325,RES_0029,DRV_0114,2025-10-15 18:34:00,2025-10-15,18,Wednesday,0,City_B,City_B_Area_6,20,Regular,Casual Dining,Pizza,3.5,1,15.08,20,1.69,0.65,5.05,19.45,Credit Card,1.7,6.1,Rain,Medium,21,4.0,9,32,42.0,1,Completed,,3.9
ORD_000006,CUS_00580,RES_0019,DRV_0112,2025-10-23 14:27:00,2025-10-23,14,Thursday,0,City_B,City_B_Area_6,45,New,Fast Food,Pizza,4.7,1,9.75,0,1.37,0.45,5.35,16.92,Digital Wallet,0.0,6.7,Clear,Medium,34,5.0,12,32,39.0,1,Completed,,4.0
ORD_000007,CUS_00021,RES_0002,DRV_0109,2025-10-29 19:20:00,2025-10-29,19,Wednesday,0,City_D,City_D_Area_10,25,New,Fast Food,Burger,3.6,1,7.78,0,1.09,0.31,4.65,13.83,Credit Card,1.51,5.3,Clear,Medium,43,4.8,11,27,31.0,0,Completed,,4.5
ORD_000008,CUS_00003,RES_0044,DRV_0066,2025-10-26 07:22:00,2025-10-26,7,Sunday,1,City_D,City_D_Area_10,25,Regular,Fast Food,Burger,4.5,2,18.81,0,2.63,1.13,3.7,26.27,Credit Card,2.27,3.4,Clear,Low,53,4.0,12,20,22.0,0,Completed,,4.8
ORD_000009,CUS_00002,RES_0003,DRV_0155,2025-10-24 14:28:00,2025-10-24,14,Friday,0,City_C,City_C_Area_4,28,Premium,Cafe,Burger,4.8,2,13.56,0,1.9,0.47,0.0,15.93,Digital Wallet,1.66,6.2,Clear,High,46,4.5,11,37,40.0,0,Completed,,5.0
ORD_000010,CUS_00009,RES_0009,DRV_0126,2025-10-14 20:32:00,2025-10-14,20,Tuesday,0,City_B,City_B_Area_9,28,Regular,Casual Dining,Dessert,4.6,3,51.71,0,7.24,1.74,3.0,63.69,Digital Wallet,4.47,2.0,Cloudy,Medium,47,4.0,14,25,22.0,0,Completed,,4.8
